State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.36157	1.36319	1.36589	1.35564	1.35510	1.35294	1.34971	1.34162	1.34162	1.34701	1.36427	1.37290	1.36427	1.34270	1.34540	1.34162	1.33946	1.33839	1.32706	1.32275	1.32329
2	0.59148	0.59033	0.59010	0.59093	0.59204	0.59130	0.59328	0.59481	0.59864	0.60879	0.62023	0.62905	0.63583	0.64575	0.65521	0.66661	0.67713	0.68761	0.69564	0.70330	0.71165
3	1.42186	1.42974	1.46128	1.46128	1.44814	1.48756	1.51122	1.51647	1.44026	1.37718	1.25891	1.22474	1.26154	1.27205	1.29308	1.26679	1.32987	1.35090	1.37455	1.39295	1.39821
4	3.59397	3.62198	3.63030	3.65043	3.65437	3.66969	3.67625	3.66312	3.63599	3.59791	3.56114	3.47272	3.41889	3.34010	3.26832	3.17684	3.07923	2.99213	2.88620	2.81748	2.72819
5	1.23534	1.20663	1.19323	1.18079	1.13391	1.11190	1.07458	1.07075	1.05161	1.03535	0.99994	0.98846	0.99133	0.98463	0.97602	0.94349	0.91861	0.90712	0.90808	0.90712	0.91000
6	2.55015	2.46646	2.57477	2.48615	2.64369	2.65354	2.75200	2.84062	2.82092	2.58462	2.48123	2.54523	2.41723	2.41723	2.24492	2.22031	2.14154	2.09231	2.07754	2.06769	2.07754
7	1.26540	1.26238	1.31523	1.34996	1.43754	1.42697	1.42395	1.47982	1.55381	1.55381	1.60817	1.60213	1.61119	1.62327	1.56891	1.54626	1.57495	1.57948	1.67461	1.66102	1.65649
8	1.42630	1.50259	1.43625	1.43625	1.34338	1.46610	1.58552	1.69498	1.70493	1.71156	1.58883	1.69498	1.68834	1.65517	1.72483	1.73810	1.67176	1.64522	1.59878	1.62532	1.64522
9	4.83036	4.76843	4.52072	4.50008	4.31945	4.09239	3.78791	3.51956	3.33893	3.31313	3.07574	3.00349	3.12735	3.06542	3.15831	3.16863	3.31829	3.33893	3.27701	3.29249	3.31313
10	3.91163	3.86982	3.83399	3.63692	3.60706	3.63692	3.53540	3.40401	3.49359	3.18902	2.91431	2.87251	2.71127	2.84265	2.76501	2.92626	2.86057	2.79487	3.06361	3.02181	3.06958
