State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.27079	2.28792	2.29459	2.29506	2.27031	2.19702	2.06422	1.86147	1.60588	1.39884	1.30698	1.31221	1.44167	1.59874	1.73915	1.85718	1.94238	1.98426	2.01092	2.01282	1.98997
2	0.74879	0.73437	0.71661	0.69079	0.65303	0.60061	0.53360	0.45262	0.37829	0.33886	0.32142	0.31992	0.33238	0.35205	0.37568	0.40725	0.43800	0.46712	0.48769	0.50358	0.51808
3	1.10886	1.17845	1.19701	1.21557	1.23412	1.22253	1.18309	1.14597	1.12973	1.15293	1.17149	1.20861	1.22948	1.22485	1.20397	1.17613	1.16917	1.12741	1.10190	1.08566	1.06710
4	0.74099	0.70120	0.64982	0.59805	0.55285	0.50919	0.46167	0.42652	0.39290	0.37900	0.37011	0.37591	0.39175	0.41377	0.43733	0.47944	0.56444	0.64866	0.75683	0.85419	0.94807
5	1.64864	1.51013	1.31334	1.04729	0.84375	0.67061	0.60304	0.53716	0.51013	0.48142	0.47213	0.48142	0.50675	0.51436	0.57263	0.72381	1.11824	1.82178	2.61148	3.33276	3.98394
6	5.01019	5.24049	5.44472	5.54032	4.72340	3.65444	2.50292	2.12488	1.79028	1.62951	1.66427	1.66427	1.71207	2.07273	3.73700	8.11277	13.24463	16.08649	16.47322	15.93440	14.43960
7	1.77265	1.88327	1.95924	2.12718	2.14317	2.19915	2.11252	1.83129	1.51275	1.40346	1.29950	1.13689	1.03427	1.04226	1.17688	1.28884	1.46344	1.54874	1.62204	1.58072	1.47543
8	1.46972	1.57219	1.73321	1.68637	1.87082	1.95279	2.12846	2.19580	2.08454	1.75371	1.46386	1.39067	1.21501	1.04813	1.02470	1.04227	1.08033	1.12132	1.11254	1.13889	1.27063
9	5.54803	6.64124	8.43136	10.74988	14.07505	18.72118	24.18722	31.72124	39.71988	41.67854	44.38879	56.19543	56.59172	54.09100	48.75706	39.87930	30.68725	22.82071	17.23169	12.98640	10.11217
10	4.64387	5.40292	6.60474	8.88714	12.64019	17.48963	23.88880	30.31958	36.04404	42.71203	43.87695	30.90468	27.64184	25.74424	24.15762	21.80142	16.92562	12.49260	8.91349	6.72597	5.11827
