State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	6.44765	1.77216	1.19274	0.90071	1.36441	1.30702	2.01320	1.00094
2	75.33984	0.16682	0.50057	0.79354	0.62030	0.32143	0.53089	1.16843
3	1.32288	3.40031	1.40994	0.74427	1.25904	1.17153	1.16728	0.78824
4	7.94334	0.30962	4.07945	2.18184	3.56020	0.37012	0.57852	0.28746
5	3.63348	0.59987	1.32880	2.28832	1.00005	0.47214	1.12596	0.11361
6	0.70623	0.70783	2.34587	2.25821	2.48149	1.66432	5.48239	0.06842
7	2.30249	0.33918	1.26253	1.22110	1.60834	1.29954	1.65268	0.44427
8	1.04819	0.34130	1.45917	1.32732	1.58900	1.46391	1.56368	0.30372
9	0.67372	50.69053	8.40738	1.87563	3.07606	44.38559	24.43590	0.15682
10	0.58219	53.38233	6.42634	1.22921	2.91462	43.87829	18.91562	0.48506
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
