State (Emission order)	H3k9me3	H3k27me3	H3k4me3	H3k4me2	H3k9ac	H3k27ac	H3k4me1	H4k20me1	H3k79me2	H3k36me3
1	0.028011669048752266	0.15584207765331298	9.750885303981222E-4	0.0016593309174235905	0.0016124284529633695	1.8697003611434064E-4	0.003770046292512408	0.005433626373906351	2.633486247081532E-4	3.896523175740179E-5
2	0.006920511709010769	0.002616152090534726	1.3187978711751543E-4	2.5015858923164335E-4	7.99909269105286E-4	9.713270888614517E-10	8.977865505624121E-4	0.001270556762910337	7.611558359629771E-4	0.0011261359538121045
3	0.30502492838603756	0.015590632782331549	0.0029554164450194286	4.4389565104799143E-4	0.004901557395808261	0.0019242629609952451	0.0022976084322913625	0.013116404593789306	0.0034250146700254697	0.011483319871515742
4	0.012866124751509382	1.2420136099781774E-4	3.028923375403191E-4	5.750735451931666E-4	0.0032069177541957307	0.0013194461198574544	0.007491866761522468	0.006909221308572519	0.0302918890430125	0.3827685529356893
5	0.014265152711793471	2.5165337348632765E-4	6.170549226101779E-4	0.004046455275863763	0.0036596766691936685	9.672276138708562E-4	0.027079817248002996	0.06473222109022579	0.6308920095499985	0.21349073212550698
6	0.022740787825246887	0.0011904820385036424	0.12452777354495007	0.5050414544226643	0.14753513340413935	0.27830413249130104	0.6442975832839697	0.15529252677887137	0.8333105019303177	0.3217222364863977
7	0.01947430124348935	0.001810610483599036	0.004093455119685022	0.20634735243778343	0.032979396870697016	0.1142331649711987	0.4717928104584472	0.008187678965311465	0.009452182422355916	0.014263464803468337
8	0.016494306043630735	3.854641958152193E-4	0.1267636009980238	0.7293871033224724	0.5336064710755432	0.9502214735568457	0.7589367725867299	0.01759783455092089	0.025557904598485382	0.04257245568369623
9	0.026842116896562747	0.015526360265059358	0.9765887151269527	0.9034540418679228	0.9058604907138262	0.7089967428294185	0.17872417912483868	0.02839771033413721	0.6202847613643249	0.03904771110684981
10	0.05468915995608082	0.10548146023025841	0.7383433171201476	0.7255576851070713	0.15156527539991718	0.022872693029100152	0.1961884588119525	0.0030754837957627603	0.03569222397500792	7.2824302116528E-4
